stadium,team,league,address
Dean Court,AFC Bournemouth,Premier League,"Kings Park, Bournemouth BH7 7AF"
Emirates Stadium,Arsenal,Premier League,"Hornsey Rd, London N7 7AJ"
Villa Park,Aston Villa,Premier League,"Trinity Rd, Birmingham B6 6HE"
Brentford Community Stadium,Brentford,Premier League,"Lionel Rd S, Brentford TW8 0RU"
Falmer Stadium,Brighton & Hove Albion,Premier League,"Village Way, Brighton and Hove, Brighton BN1 9BL"
Stamford Bridge,Chelsea,Premier League,"Fulham Rd., London SW6 1HS"
Selhurst Park,Crystal Palace,Premier League,"Holmesdale Rd, London SE25 6PU"
Goodison Park,Everton,Premier League,"Goodison Rd, Liverpool L4 4EL"
Craven Cottage,Fulham,Premier League,"Stevenage Rd, London SW6 6HH"
Portman Road,Ipswich Town,Premier League,"Town Football Club, Portman Rd, Ipswich IP1 2DA"
King Power Stadium,Leicester City,Premier League,"Filbert Wy, Leicester LE2 7FL"
Anfield,Liverpool,Premier League,"Anfield Rd, Anfield, Liverpool L4 0TH"
City of Manchester Stadium,Manchester City,Premier League,"Etihad Stadium, Etihad Campus, Manchester M11 3FF"
Old Trafford,Manchester United,Premier League,"Sir Matt Busby Way, Old Trafford, Stretford, Manchester M16 0RA"
St James' Park,Newcastle United,Premier League,"Barrack Rd, Newcastle upon Tyne NE1 4ST"
City Ground,Nottingham Forest,Premier League,"City Ground, West Bridgford, Nottinghamshire, NG2 5FJ"
St Mary's Stadium,Southampton,Premier League,"Britannia Rd, Southampton SO14 5FP"
Tottenham Hotspur Stadium,Tottenham Hotspur,Premier League,"782 High Rd, London N17 0BX"
London Stadium,West Ham United,Premier League,London E20 2ST
Molineux,Wolverhampton Wanderers,Premier League,"Waterloo Rd, Wolverhampton WV1 4QR"
Ewood Park,Blackburn Rovers,EFL Championship,"Ewood Park, Blackburn BB2 4JF"
Ashton Gate Stadium,Bristol City,EFL Championship,"Ashton Rd, Bristol BS3 2EJ"
Turf Moor,Burnley,EFL Championship,"Turf Moor, 52-56 Harry Potts Way, Burnley BB10 4BX"
Cardiff City Stadium,Cardiff City,EFL Championship,"Leckwith Rd, Cardiff CF11 8AZ"
Coventry Building Society Arena,Coventry City,EFL Championship,"Judds Ln, Coventry CV6 6GE"
Pride Park,Derby County,EFL Championship,"Pride Park Stadium, Derby DE24 8XL"
MKM Stadium,Hull City,EFL Championship,"Walton St, Hull HU3 6HU"
Elland Road,Leeds United,EFL Championship,"Elland Rd, Beeston, Leeds LS11 0ES"
Kenilworth Road,Luton Town,EFL Championship,"1 Maple Rd E, Luton LU4 8AW"
Riverside Stadium,Middlesbrough,EFL Championship,Middlesbrough TS3 6RS
The Den,Millwall,EFL Championship,"John Berylson Wy, London SE16 3LN"
Carrow Road,Norwich City,EFL Championship,"Carrow Rd, Norwich NR1 1JE"
Kassam Stadium,Oxford United,EFL Championship,"Grenoble Rd, Littlemore, Oxford OX4 4XP"
Home Park,Plymouth Argyle,EFL Championship,"Mayflower Dr, Plymouth PL2 3DQ"
Fratton Park,Portsmouth,EFL Championship,"Fratton Park, 44 Frogmore Rd, Southsea, Portsmouth, Southsea PO4 8RA"
Deepdale,Preston North End,EFL Championship,"Sir Tom Finney Way, Preston PR1 6RU"
Loftus Road,Queens Park Rangers,EFL Championship,"S Africa Rd, London W12 7PJ"
Bramall Lane,Sheffield United,EFL Championship,"John St, Highfield, Sheffield S2 4QX"
Hillsborough,Sheffield Wednesday,EFL Championship,"76 Penistone Rd N, Sheffield S6 1SW"
bet365 Stadium,Stoke City,EFL Championship,"Stanley Matthews Way, Stoke-on-Trent ST4 4EG"
Stadium of Light,Sunderland,EFL Championship,"Monkwearmouth, Sunderland SR5 1SU"
Liberty Stadium,Swansea City,EFL Championship,"Plasmarl, Swansea SA1 2FA"
Vicarage Road,Watford,EFL Championship,"Vicarage Rd, Watford WD18 0ER"
