stadium,team,league,postcode,lat,lon
Dean Court,AFC Bournemouth,Premier League,BH7 7AF,50.73531,-1.83923
Emirates Stadium,Arsenal,Premier League,N7 7AJ,51.55429,-0.10848
Villa Park,Aston Villa,Premier League,B6 6HE,52.50849,-1.88495
Brentford Community Stadium,Brentford,Premier League,TW8 0RU,51.49034,-0.28831
Falmer Stadium,Brighton & Hove Albion,Premier League,BN1 9BL,50.86092,-0.08428
Stamford Bridge,Chelsea,Premier League,SW6 1HS,51.48112,-0.1903
Selhurst Park,Crystal Palace,Premier League,SE25 6PU,51.39789,-0.08592
Goodison Park,Everton,Premier League,L4 4EL,53.4392,-2.96702
Craven Cottage,Fulham,Premier League,SW6 6HH,51.47452,-0.22061
Portman Road,Ipswich Town,Premier League,IP1 2DA,52.05473,1.14471
King Power Stadium,Leicester City,Premier League,LE2 7FL,52.62004,-1.1415
Anfield,Liverpool,Premier League,L4 0TH,53.43127,-2.96158
City of Manchester Stadium,Manchester City,Premier League,M11 3FF,53.48421,-2.20281
Old Trafford,Manchester United,Premier League,M16 0RA,53.46256,-2.29103
St James' Park,Newcastle United,Premier League,NE1 4ST,54.97522,-1.62232
City Ground,Nottingham Forest,Premier League,NG2 5FJ,52.93944,-1.1332
St Mary's Stadium,Southampton,Premier League,SO14 5FP,50.90653,-1.39082
Tottenham Hotspur Stadium,Tottenham Hotspur,Premier League,N17 0BX,51.6042,-0.06757
London Stadium,West Ham United,Premier League,E20 2ST,51.53864,-0.0164
Molineux,Wolverhampton Wanderers,Premier League,WV1 4QR,52.5902,-2.13123
Ewood Park,Blackburn Rovers,EFL Championship,BB2 4JF,53.72862,-2.48997
Ashton Gate Stadium,Bristol City,EFL Championship,BS3 2EJ,51.44071,-2.6206
Turf Moor,Burnley,EFL Championship,BB10 4BX,53.78847,-2.23033
Cardiff City Stadium,Cardiff City,EFL Championship,CF11 8AZ,51.47332,-3.20642
Coventry Building Society Arena,Coventry City,EFL Championship,CV6 6GE,52.44877,-1.49628
Pride Park,Derby County,EFL Championship,DE24 8XL,52.91463,-1.44797
MKM Stadium,Hull City,EFL Championship,HU3 6HU,53.74573,-0.36802
Elland Road,Leeds United,EFL Championship,LS11 0ES,53.77771,-1.5731
Kenilworth Road,Luton Town,EFL Championship,LU4 8AW,51.88401,-0.43236
Riverside Stadium,Middlesbrough,EFL Championship,TS3 6RS,54.57812,-1.21776
The Den,Millwall,EFL Championship,SE16 3LN,51.48667,-0.05105
Carrow Road,Norwich City,EFL Championship,NR1 1JE,52.62238,1.3086
Kassam Stadium,Oxford United,EFL Championship,OX4 4XP,51.71707,-1.21096
Home Park,Plymouth Argyle,EFL Championship,PL2 3DQ,50.38739,-4.1517
Fratton Park,Portsmouth,EFL Championship,PO4 8RA,50.79592,-1.06488
Deepdale,Preston North End,EFL Championship,PR1 6RU,53.77224,-2.68933
Loftus Road,Queens Park Rangers,EFL Championship,W12 7PJ,51.50969,-0.23211
Bramall Lane,Sheffield United,EFL Championship,S2 4QX,53.37134,-1.46986
Hillsborough,Sheffield Wednesday,EFL Championship,S6 1SW,53.41084,-1.50086
bet365 Stadium,Stoke City,EFL Championship,ST4 4EG,52.98826,-2.17608
Stadium of Light,Sunderland,EFL Championship,SR5 1SU,54.91406,-1.3893
Liberty Stadium,Swansea City,EFL Championship,SA1 2FA,51.64216,-3.93512
Vicarage Road,Watford,EFL Championship,WD18 0ER,51.64928,-0.40073
The Hawthorns,West Bromwich Albion,EFL Championship,B71 4LF,52.509,-1.9633
Oakwell,Barnsley,EFL League One,S71 1ET,53.55227,-1.46863
St Andrew's,Birmingham City,EFL League One,B9 4RL,52.47492,-1.86411
Bloomfield Road,Blackpool,EFL League One,FY1 6JJ,53.80549,-3.04853
Toughsheet Community Stadium,Bolton Wanderers,EFL League One,BL6 6JW,53.58017,-2.53628
Memorial Stadium,Bristol Rovers,EFL League One,BS7 0BF,51.48583,-2.58361
Pirelli Stadium,Burton Albion,EFL League One,DE13 0AR,52.82146,-1.627
Abbey Stadium,Cambridge United,EFL League One,CB5 8LN,52.21285,0.15402
The Valley,Charlton Athletic,EFL League One,SE7 8AN,51.48704,0.03452
Broadfield Stadium,Crawley Town,EFL League One,RH11 9RX,51.09957,-0.1954
St James Park,Exeter City,EFL League One,NE1 4ST,54.97522,-1.62232
Kirklees Stadium,Huddersfield Town,EFL League One,HD1 6PG,53.6549,-1.76709
Brisbane Road,Leyton Orient,EFL League One,E10 5NF,51.56021,-0.01189
Sincil Bank,Lincoln City,EFL League One,LN5 8LD,53.21818,-0.54006
Field Mill,Mansfield Town,EFL League One,NG18 5DA,53.13744,-1.20013
Sixfields Stadium,Northampton Town,EFL League One,NN5 5QA,52.23506,-0.93421
London Road,Peterborough United,EFL League One,PE2 8AL,52.56526,-0.24028
Madejski Stadium,Reading,EFL League One,RG2 0FL,51.42233,-0.9835
New York Stadium,Rotherham United,EFL League One,S60 1FJ,53.42684,-1.3617
New Meadow,Shrewsbury Town,EFL League One,SY2 6ST,52.68843,-2.74849
Broadhall Way,Stevenage,EFL League One,SG2 8RH,51.89011,-0.19429
Edgeley Park,Stockport County,EFL League One,SK3 9DD,53.39992,-2.16713
DW Stadium,Wigan Athletic,EFL League One,WN5 0UH,53.54399,-2.65379
The Racehorse Ground,Wrexham,EFL League One,LL11 2AH,53.05126,-3.00385
Adams Park,Wycombe Wanderers,EFL League One,HP12 4HJ,51.63158,-0.79598
Crown Ground,Accrington Stanley,EFL League Two,BB5 5BX,53.76418,-2.37044
Plough Lane,AFC Wimbledon,EFL League Two,SW17 0NR,51.43123,-0.18732
Holker Street,Barrow,EFL League Two,LA14 5UH,54.1228,-3.23431
Valley Parade,Bradford City,EFL League Two,BD8 7DY,53.80358,-1.75948
Hayes Lane,Bromley,EFL League Two,BR2 9EF,51.39098,0.01769
Brunton Park,Carlisle United,EFL League Two,CA1 1LL,54.89582,-2.91447
Whaddon Road,Cheltenham Town,EFL League Two,GL52 5NA,51.90558,-2.06209
SMH Group Stadium,Chesterfield,EFL League Two,S41 8NZ,53.25361,-1.425
Colchester Community Stadium,Colchester United,EFL League Two,CO4 5UP,51.92332,0.89699
Gresty Road,Crewe Alexandra,EFL League Two,CW2 6EB,53.08793,-2.4361
Eco-Power Stadium,Doncaster Rovers,EFL League Two,DN4 5JW,53.50979,-1.11296
Highbury Stadium,Fleetwood Town,EFL League Two,N5 1FG,51.55749,-0.10382
Priestfield Stadium,Gillingham,EFL League Two,ME7 4DD,51.38487,0.55976
Blundell Park,Grimsby Town,EFL League Two,DN35 7PZ,53.56968,-0.04538
